Organ_Name,Num_of_triangles
Allen_corpus_callosum_R,1806
Allen_fornix_R,192
Allen_mammillothalamic_tract_R,36
Allen_optic_tract_R,78
Allen_anterior_horn_of_lateral_ventricle_R,810
Allen_body_of_lateral_ventricle_R,462
Allen_posterior_horn_of_lateral_ventricle_R,120
Allen_inferior_horn_of_lateral_ventricle_R,396
Allen_third_ventricle_R,348
Allen_cerebellar_vermis_R,1395
Allen_cerebellar_deep_nuclei_R,192
Allen_white_matter_of_hindbrain_R,3777
Allen_olfactory_tract_R,42
Allen_precentral_gyrus_R,3324
Allen_superior_frontal_gyrus_R,6072
Allen_middle_frontal_gyrus_R,4038
Allen_inferior_frontal_gyrus_triangular_part_R,1524
Allen_inferior_frontal_gyrus_opercular_part_R,888
Allen_gyrus_rectus_straight_gyrus_R,558
Allen_medial_orbital_gyrus_R,720
Allen_anterior_intermediate_orbital_gyrus_R,348
Allen_posterior_intermediate_orbital_gyrus_R,576
Allen_lateral_orbital_gyrus_R,894
Allen_paracentral_lobule_rostral_part_R,924
Allen_frontal_operculum_R,396
Allen_postcentral_gyrus_R,2724
Allen_supraparietal_lobule_R,2772
Allen_supramarginal_gyrus_R,1416
Allen_angular_gyrus_R,1872
Allen_precuneus_R,2802
Allen_paracentral_lobule_caudal_part_R,600
Allen_superior_temporal_gyrus_R,1245
Allen_middle_temporal_gyrus_R,3075
Allen_inferior_temporal_gyrus_R,2112
Allen_occipitotemporal_fusiform_gyrus_temporal_part_R,1374
Allen_transverse_temporal_gyrus_Heschls_gyrus_R,426
Allen_planum_temporale_R,492
Allen_temporal_pole_R,768
Allen_planum_polare_R,696
Allen_occipital_pole_R,444
Allen_cuneus_R,1800
Allen_lingual_gyrus_medial_occipitotemporal_gyrus_R,2220
Allen_lateral_occipitotemporal_fusiform_gyrus_occipital_part_R,570
Allen_inferior_occipital_gyrus_R,1386
Allen_superior_occipital_gyrus_R,1773
Allen_cingulate_gyrus_rostral_anterior_part_R,1050
Allen_cingulate_gyrus_caudal_posterior_part_R,1227
Allen_ingulo_parahippocampal_isthmus_R,72
Allen_subcallosal_gyrus_parolfactory_gyrus_R,120
Allen_anterior_parahippocampal_gyrus_R,402
Allen_posterior_parahippocampal_gyrus_R,330
Allen_gyrus_ambiens_R,48
Allen_head_of_hippocampus_R,150
Allen_body_of_hippocampus_R,126
Allen_tail_of_hippocampus_R,156
Allen_long_insular_gyri_R,360
Allen_short_insular_gyri_R,438
Allen_limen_insula_R,18
Allen_pretectal_region_R,12
Allen_red_nucleus_R,24
Allen_substantia_nigra_R,30
Allen_superior_colliculus_R,18
Allen_inferior_colliculus_R,48
Allen_cerebral_peduncle_crus_cerebri_R,138
Allen_superior_cerebellar_peduncle_brachium_conjunctivum_R,72
Allen_cerebral_aqueduct_R,18
Allen_paravermis_of_cerebellum_R,987
Allen_lateral_hemisphere_of_cerebellum_R,3558
Allen_basilar_part_of_pons_R,276
Allen_pontine_tegmentum_R,156
Allen_pyramidal_part_of_medulla_oblongata_R,30
Allen_tegmentum_of_medulla_oblongata_R,186
Allen_inferior_olive_R,36
Allen_inferior_cerebellar_peduncle_R,30
Allen_middle_cerebellar_peduncle_R,96
Allen_fourth_ventricle_R,126
Allen_central_canal_of_medulla_oblongata_R,12
Allen_midline_nuclear_complex_R,72
Allen_lateral_olfactory_gyrus_R,36
Allen_parietal_operculum_R,366
Allen_optic_radiation_R,24
Allen_posteroventral_putamen_R,624
Allen_atrium_of_lateral_ventricle_R,186
Allen_paracingulate_gyrus_R,246
Allen_rostral_gyrus_R,342
Allen_frontomarginal_gyrus_R,324
Allen_frontal_pole_R,630
Allen_perirhinal_gyrus_rostral_part_of_FuGt_R,24
Allen_hypothalamus_L,138
Allen_hypothalamus_R,144
Allen_subthalamic_nucleus_R,60
Allen_mammillary_region_of_HTH_R,138
Allen_midbrain_tegmentum_R,207
Allen_tuberal_region_of_HTH_R,192
Allen_preoptic_region_of_HTH_R,66
Allen_midbrain_tegmentum_L,204
Allen_red_nucleus_L,24
Allen_inferior_colliculus_L,48
Allen_mammillary_region_of_HTH_L,138
Allen_subthalamic_nucleus_L,60
Yao_afferent_lymphatic_vessel,1350
Yao_capsule_of_lymph_node,2814
Yao_follicles,1722
Yao_efferent_lymph_node,1242
Yao_medulla_of_lymph_node,26256
Yao_paracortex,3270
Yao_blood_vasculature,38460
VH_F_hepatic_flexure_of_colon,411
VH_F_transverse_colon,1470
VH_F_ascending_colon,468
VH_F_vermiform_appendix,66
VH_F_descending_colon,1425
VH_F_ileocecal_valve,18
VH_F_caecum,234
VH_F_rectum,546
VH_F_sigmoid_colon,822
VH_F_splenic_flexure_of_colon,429
VH_F_left_uterine_artery,408
VH_F_right_uterine_artery,405
VH_F_left_uterine_vein,729
VH_F_right_uterine_vein,690
VH_F_inferior_ophthalmic_vein_L,2484
VH_F_superior_ophthalmic_vein_L,3894
VH_F_central_retinal_vein_L,618
VH_F_ophthalmic_vein_L,450
VH_F_superior_ophthalmic_vein_R,3894
VH_F_ophthalmic_vein_R,453
VH_F_central_retinal_vein_R,618
VH_F_inferior_ophthalmic_vein_R,2481
VH_F_central_retinal_artery_R,1278
VH_F_opthalmic_artery_R,5493
VH_F_opthalmic_artery_L,5493
VH_F_central_retinal_artery_L,1281
VH_F_right_renal_artery,954
VH_F_left_renal_artery,1689
VH_F_left_renal_vein,816
VH_F_right_renal_vein,282
VH_F_superior_mesenteric_vein,1161
VH_F_superior_rectal_vein,1068
VH_F_left_common_iliac_vein,549
VH_F_right_common_iliac_vein,390
VH_F_left_colic_vein,474
VH_F_right_colic_vein,567
VH_F_ileocolic_vein,540
VH_F_middle_colic_vein,732
VH_F_inferior_rectal_vein_L,495
VH_F_inferior_rectal_vein_R,492
VH_F_internal_iliac_vein_L,156
VH_F_internal_iliac_vein_R,234
VH_F_internal_pudendal_vein_L,408
VH_F_internal_pudendal_vein_R,450
VH_F_middle_rectal_vein_L,300
VH_F_middle_rectal_vein_R,288
VH_F_sigmoid_vein_a,117
VH_F_sigmoid_vein_c,201
VH_F_median_sacral_vein,543
VH_F_sigmoid_vein_b,507
VH_F_inferior_pancreaticoduodenal_vein,543
VH_F_inferior_mesenteric_vein,2043
VH_F_left_colic_artery,363
VH_F_right_colic_artery,477
VH_F_ileocolic_artery,429
VH_F_middle_colic_artery,402
VH_F_celiac_trunk,102
VH_F_superior_rectal_artery,612
VH_F_superior_mesenteric_artery,804
VH_F_inferior_mesenteric_artery,612
VH_F_marginal_artery_of_Drummond,2256
VH_F_sigmoid_artery_c,183
VH_F_sigmoid_artery_b,147
VH_F_sigmoid_artery_a,225
VH_F_splenic_artery,1761
VH_F_splenic_vein,2715
VH_F_cystic_artery,420
VH_F_cystic_vein,960
VH_F_middle_hepatic_artery_branch_of_left_hepatic_artery,129
VH_F_proper_hepatic_artery,171
VH_F_right_hepatic_artery,177
VH_F_common_hepatic_artery,153
VH_F_posterior_segmental_right_hepatic_artery,207
VH_F_anterior_segmental_right_hepatic_artery,69
VH_F_left_hepatic_artery,360
VH_F_hepatic_portal_vein,645
VH_F_middle_hepatic_vein,231
VH_F_left_hepatic_vein,177
VH_F_right_hepatic_vein,300
VH_F_right_branch_of_portal_vein,507
VH_F_left_branch_of_portal_vein,459
VH_F_pulmonary_vein_L_sup,609
VH_F_pulmonary_vein_R_inf,453
VH_F_pulmonary_vein_R_sup,636
VH_F_pulmonary_vein_L_inf,546
VH_F_coronary_sinus,1755
VH_F_great_cardiac_vein,2046
VH_F_middle_cardiac_vein,1071
VH_F_oblique_vein_of_left_atrium,279
VH_F_left_marginal_vein,990
VH_F_posterior_vein_of_left_ventricle,1206
VH_F_anterior_cardiac_vein,990
VH_F_small_cardiac_vein,1422
VH_F_superior_vena_cava,1155
VH_F_inferior_vena_cava_a,1056
VH_F_inferior_vena_cava_b,3180
VH_F_left_anterior_descending_artery,954
VH_F_left_circumflex_artery,432
VH_F_diagonal_branch_of_left_anterior_descending_artery,345
VH_F_left_coronary_artery,177
VH_F_left_marginal_branch,321
VH_F_left_posterior_descending_branch_of_circumflex_branch_of_left_coronary_artery,723
VH_F_posterior_left_ventricular_branch,477
VH_F_right_coronary_artery,1608
VH_F_right_marginal_artery,480
VH_F_pulmonary_artery_L,855
VH_F_pulmonary_trunk,639
VH_F_pulmonary_artery_R,891
VH_F_aortic_arch,1740
VH_F_ascending_aorta,1545
VH_F_descending_aorta_a,1764
VH_F_descending_aorta_b,2301
VH_F_left_common_carotid_artery_a,192
VH_F_left_common_carotid_artery_b,774
VH_F_left_subclavian_artery_a,330
VH_F_left_subclavian_artery_b,783
VH_F_brachiocephalic_artery_b,987
VH_F_brachiocephalic_artery_a,180
VH_F_ampulla_of_uterine_tube_L,3393
VH_F_isthmus_of_fallopian_tube_L,525
VH_F_fibria_of_uterine_tube_L,825
VH_F_uterine_tube_infundibulum_L,603
VH_F_ampulla_of_uterine_tube_R,3093
VH_F_isthmus_of_fallopian_tube_R,450
VH_F_fibria_of_uterine_tube_R,1023
VH_F_uterine_tube_infundibulum_R,627
VH_F_interventricular_septum,4668
VH_F_left_cardiac_atrium,2646
VH_F_left_ventricle,2946
VH_F_right_cardiac_atrium,2808
VH_F_right_ventricle,5139
VH_F_papillary_muscle_of_heart_ant,195
VH_F_papillary_muscle_of_heart_antlat,900
VH_F_papillary_muscle_of_heart_med,18
VH_F_papillary_muscle_of_heart_pos,18
VH_F_papillary_muscle_of_heart_posmed,468
VH_F_aortic_valve,1203
VH_F_pulmonary_valve,501
VH_F_mitral_valve,552
VH_F_tricuspid_valve,3282
VH_F_kidney_capsule_L,3252
VH_F_hilum_of_kidney_L,1695
VH_F_renal_pyramid_L_a,828
VH_F_renal_pyramid_L_b,294
VH_F_renal_pyramid_L_c,192
VH_F_renal_pyramid_L_d,432
VH_F_renal_pyramid_L_e,393
VH_F_renal_pyramid_L_f,510
VH_F_renal_pyramid_L_g,807
VH_F_renal_pyramid_L_h,210
VH_F_renal_pyramid_L_i,369
VH_F_renal_pyramid_L_j,381
VH_F_renal_pyramid_L_k,330
VH_F_renal_column_L,7752
VH_F_outer_cortex_of_kidney_L,4131
VH_F_kidney_capsule_R,3192
VH_F_hilum_of_kidney_R,1194
VH_F_outer_cortex_of_kidney_R,4146
VH_F_renal_column_R,6984
VH_F_renal_pyramid_R_a,801
VH_F_renal_pyramid_R_b,276
VH_F_renal_pyramid_R_c,669
VH_F_renal_pyramid_R_d,663
VH_F_renal_pyramid_R_e,693
VH_F_renal_pyramid_R_f,672
VH_F_renal_pyramid_R_g,729
VH_F_renal_pyramid_R_h,669
VH_F_renal_pyramid_R_i,492
VH_F_renal_pyramid_R_j,852
VH_F_meniscus_L,714
VH_F_femur_L,2619
VH_F_intercondylar_fossa_L,12
VH_F_anterior_cruciate_enthesis_L,15
VH_F_posterior_cruciate_enthesis_L,18
VH_F_lateral_perichondular_surface_L,18
VH_F_lateral_epicondylar_enthesis_L,9
VH_F_medial_epicondylar_enthesis_L,9
VH_F_trochlear_groove_L,3
VH_F_medial_perichondular_surface_L,12
VH_F_articular_cartilage_of_knee_L,96
VH_F_medial_condyle_of_left_femur_inf,42
VH_F_lateral_condyle_of_femur_inf_L,36
VH_F_lateral_condyle_of_femur_frontal_L,21
VH_F_distal_most_point_of_medial_condyle_L,21
VH_F_lateral_condyle_of_femur_sup_L,15
VH_F_medial_condyle_of_left_femur_sup,21
VH_F_patella_L,120
VH_F_tibia_L,1044
VH_F_fibula_L,360
VH_F_meniscus_R,714
VH_F_femur_R,2619
VH_F_trochlear_groove_R,3
VH_F_medial_perichondular_surface_R,12
VH_F_articular_cartilage_of_knee_R,96
VH_F_medial_condyle_of_right_femur_sup,21
VH_F_lateral_condyle_of_femur_sup_R,15
VH_F_medial_condyle_of_right_femur_inf,42
VH_F_lateral_condyle_of_femur_inf_R,36
VH_F_lateral_condyle_of_femur_frontal_R,21
VH_F_distal_most_point_of_medial_condyle_R,21
VH_F_intercondylar_fossa_R,12
VH_F_posterior_cruciate_enthesis_R,18
VH_F_anterior_cruciate_enthesis_R,15
VH_F_lateral_perichondular_surface_R,18
VH_F_lateral_epicondylar_enthesis_R,9
VH_F_medial_epicondylar_enthesis_R,9
VH_F_tibia_R,1044
VH_F_fibula_R,360
VH_F_patella_R,120
VH_F_gastric_impression_of_liver,834
VH_F_suprarenal_impression_of_liver,21
VH_F_renal_impression_of_liver,255
