,Filename,Polycount,Non-Manifold Parts,Self Intersecting Parts
248,vh_m_ureter_l-100.fbx,30542,"['VH_M_renal_pelvis_L', 'VH_M_major_calyx_L_a', 'VH_M_major_calyx_L_b', 'VH_M_major_calyx_L_c', 'VH_M_minor_calyx_L_a', 'VH_M_minor_calyx_L_b', 'VH_M_minor_calyx_L_c', 'VH_M_minor_calyx_L_d', 'VH_M_minor_calyx_L_e', 'VH_M_minor_calyx_L_f', 'VH_M_minor_calyx_L_g', 'VH_M_minor_calyx_L_h', 'VH_M_minor_calyx_L_i', 'VH_M_ureter_L']","['VH_M_renal_pelvis_L', 'VH_M_minor_calyx_L_b']"
249,vh_m_ureter_l-20.fbx,6094,"['VH_M_renal_pelvis_L', 'VH_M_major_calyx_L_a', 'VH_M_major_calyx_L_b', 'VH_M_major_calyx_L_c', 'VH_M_minor_calyx_L_a', 'VH_M_minor_calyx_L_b', 'VH_M_minor_calyx_L_c', 'VH_M_minor_calyx_L_d', 'VH_M_minor_calyx_L_e', 'VH_M_minor_calyx_L_f', 'VH_M_minor_calyx_L_g', 'VH_M_minor_calyx_L_h', 'VH_M_minor_calyx_L_i', 'VH_M_ureter_L']","['VH_M_renal_pelvis_L', 'VH_M_minor_calyx_L_a', 'VH_M_minor_calyx_L_c', 'VH_M_minor_calyx_L_g']"
250,vh_m_ureter_l-40.fbx,12206,"['VH_M_renal_pelvis_L', 'VH_M_major_calyx_L_a', 'VH_M_major_calyx_L_b', 'VH_M_major_calyx_L_c', 'VH_M_minor_calyx_L_a', 'VH_M_minor_calyx_L_b', 'VH_M_minor_calyx_L_c', 'VH_M_minor_calyx_L_d', 'VH_M_minor_calyx_L_e', 'VH_M_minor_calyx_L_f', 'VH_M_minor_calyx_L_g', 'VH_M_minor_calyx_L_h', 'VH_M_minor_calyx_L_i', 'VH_M_ureter_L']","['VH_M_renal_pelvis_L', 'VH_M_minor_calyx_L_a']"
251,vh_m_ureter_l-80.fbx,24425,"['VH_M_renal_pelvis_L', 'VH_M_major_calyx_L_a', 'VH_M_major_calyx_L_b', 'VH_M_major_calyx_L_c', 'VH_M_minor_calyx_L_a', 'VH_M_minor_calyx_L_b', 'VH_M_minor_calyx_L_c', 'VH_M_minor_calyx_L_d', 'VH_M_minor_calyx_L_e', 'VH_M_minor_calyx_L_f', 'VH_M_minor_calyx_L_g', 'VH_M_minor_calyx_L_h', 'VH_M_minor_calyx_L_i', 'VH_M_ureter_L']","['VH_M_renal_pelvis_L', 'VH_M_minor_calyx_L_b']"
252,vh_m_ureter_r-100.fbx,28156,"['VH_M_major_calyx_R_a', 'VH_M_major_calyx_R_b', 'VH_M_minor_calyx_R_a', 'VH_M_minor_calyx_R_b', 'VH_M_minor_calyx_R_c', 'VH_M_minor_calyx_R_d', 'VH_M_minor_calyx_R_e', 'VH_M_minor_calyx_R_f', 'VH_M_minor_calyx_R_g', 'VH_M_minor_calyx_R_h', 'VH_M_minor_calyx_R_i', 'VH_M_renal_pelvis_R', 'VH_M_ureter_R']",[]
253,vh_m_ureter_r-20.fbx,5619,"['VH_M_major_calyx_R_a', 'VH_M_major_calyx_R_b', 'VH_M_minor_calyx_R_a', 'VH_M_minor_calyx_R_b', 'VH_M_minor_calyx_R_c', 'VH_M_minor_calyx_R_d', 'VH_M_minor_calyx_R_e', 'VH_M_minor_calyx_R_f', 'VH_M_minor_calyx_R_g', 'VH_M_minor_calyx_R_h', 'VH_M_minor_calyx_R_i', 'VH_M_renal_pelvis_R', 'VH_M_ureter_R']",[]
254,vh_m_ureter_r-40.fbx,11249,"['VH_M_major_calyx_R_a', 'VH_M_major_calyx_R_b', 'VH_M_minor_calyx_R_a', 'VH_M_minor_calyx_R_b', 'VH_M_minor_calyx_R_c', 'VH_M_minor_calyx_R_d', 'VH_M_minor_calyx_R_e', 'VH_M_minor_calyx_R_f', 'VH_M_minor_calyx_R_g', 'VH_M_minor_calyx_R_h', 'VH_M_minor_calyx_R_i', 'VH_M_renal_pelvis_R', 'VH_M_ureter_R']",[]
255,vh_m_ureter_r-80.fbx,22510,"['VH_M_major_calyx_R_a', 'VH_M_major_calyx_R_b', 'VH_M_minor_calyx_R_a', 'VH_M_minor_calyx_R_b', 'VH_M_minor_calyx_R_c', 'VH_M_minor_calyx_R_d', 'VH_M_minor_calyx_R_e', 'VH_M_minor_calyx_R_f', 'VH_M_minor_calyx_R_g', 'VH_M_minor_calyx_R_h', 'VH_M_minor_calyx_R_i', 'VH_M_renal_pelvis_R', 'VH_M_ureter_R']",[]
256,vh_m_urinary_bladder-100.fbx,10069,"['VH_M_urinary_bladder_neck_smooth_muscle', 'VH_M_fundus_of_urinary_bladder_dome', 'VH_M_ureteral_orifice_R', 'VH_M_ureteral_orifice_L', 'VH_M_trigone_of_urinary_bladder', 'VH_M_fundus_of_urinary_bladder_base1']",[]
257,vh_m_urinary_bladder-20.fbx,2008,"['VH_M_urinary_bladder_neck_smooth_muscle', 'VH_M_fundus_of_urinary_bladder_dome', 'VH_M_ureteral_orifice_R', 'VH_M_ureteral_orifice_L', 'VH_M_trigone_of_urinary_bladder', 'VH_M_fundus_of_urinary_bladder_base1']",['VH_M_urinary_bladder_neck_smooth_muscle']
258,vh_m_urinary_bladder-40.fbx,4022,"['VH_M_urinary_bladder_neck_smooth_muscle', 'VH_M_fundus_of_urinary_bladder_dome', 'VH_M_ureteral_orifice_R', 'VH_M_ureteral_orifice_L', 'VH_M_trigone_of_urinary_bladder', 'VH_M_fundus_of_urinary_bladder_base1']",[]
259,vh_m_urinary_bladder-80.fbx,8049,"['VH_M_urinary_bladder_neck_smooth_muscle', 'VH_M_fundus_of_urinary_bladder_dome', 'VH_M_ureteral_orifice_R', 'VH_M_ureteral_orifice_L', 'VH_M_trigone_of_urinary_bladder', 'VH_M_fundus_of_urinary_bladder_base1']",[]
